State,County,Diabetes Estimate
Missouri,Boone County,9921.8
Tennessee,Maury County,9951.6
North Carolina,Rockingham County,9972.4
Louisiana,Bossier Parish,9981.5
Missouri,Jasper County,10064.8
California,Kings County,10074.9
Texas,Guadalupe County,10075.9
Texas,Taylor County,10088.3
New Hampshire,Strafford County,10139.5
Connecticut,Windham County,10155.3
Michigan,Bay County,10205.8
North Carolina,Cleveland County,10251.9
South Carolina,Pickens County,10280.9
Ohio,Allen County,10298.7
Kentucky,Boone County,10375
Georgia,Columbia County,10409.2
Arizona,Cochise County,10411.2
Colorado,Mesa County,10454.3
Pennsylvania,Cambria County,10468.7
Massachusetts,Berkshire County,10469.9
Louisiana,Lafourche Parish,10520.6
Alabama,Houston County,10535
Illinois,Mclean County,10587.2
Georgia,Floyd County,10600.2
Georgia,Carroll County,10618.2
Pennsylvania,Blair County,10640.2
Wisconsin,Marathon County,10782.1
Pennsylvania,Schuylkill County,10784.3
Oklahoma,Comanche County,10789.2
New Jersey,Sussex County,10814.7
Louisiana,Livingston Parish,10824
Arizona,Navajo County,10828.2
Virginia,Roanoke County,10837.4
Virginia,Stafford County,10891.5
Connecticut,Middlesex County,10896.2
Oregon,Linn County,10918
California,Madera County,10935.9
Tennessee,Madison County,10935.9
Tennessee,Bradley County,11014.8
New Jersey,Cumberland County,11046.3
Montana,Yellowstone County,11090.3
South Carolina,Orangeburg County,11143.4
Virginia,Portsmouth City,11149.6
North Carolina,Onslow County,11159.5
Maine,Kennebec County,11183.8
Alabama,Morgan County,11211
Connecticut,Litchfield County,11230.3
Pennsylvania,Franklin County,11231.7
Indiana,Delaware County,11243.1
South Dakota,Minnehaha County,11258.4
North Carolina,Harnett County,11281
California,Imperial County,11287.2
New Mexico,San Juan County,11299.6
South Carolina,Sumter County,11385.1
Georgia,Coweta County,11389.1
Michigan,Berrien County,11421.7
Pennsylvania,Fayette County,11423.4
Indiana,Laporte County,11431.6
Ohio,Columbiana County,11437.3
Ohio,Portage County,11438.6
Indiana,Tippecanoe County,11499
Texas,Comal County,11546.1
Utah,Washington County,11558
North Dakota,Cass County,11570.2
Ohio,Wood County,11589.8
Virginia,Arlington County,11591.2
Wisconsin,Rock County,11626.6
Florida,Flagler County,11640.6
Arkansas,Sebastian County,11718.8
Ohio,Fairfield County,11735.4
Wisconsin,Kenosha County,11772.4
Louisiana,Tangipahoa Parish,11789.9
New York,Rensselaer County,11863.4
New York,Chautauqua County,11883
West Virginia,Berkeley County,11937.6
California,Shasta County,11954.5
New York,Ulster County,11965.2
Ohio,Richland County,11976.2
Texas,Wichita County,11976.8
Tennessee,Blount County,11983.2
Virginia,Hampton City,12043.8
New York,Schenectady County,12091.5
California,Butte County,12107
Hawaii,Maui County,12115
Ohio,Greene County,12177.1
Wisconsin,Outagamie County,12191.2
Oklahoma,Canadian County,12225.9
Illinois,Champaign County,12349.3
Illinois,Rock Island County,12386.6
North Carolina,Davidson County,12432
Nebraska,Sarpy County,12495.5
Alabama,Lee County,12555.2
North Carolina,Rowan County,12572.7
Wisconsin,Winnebago County,12619.8
Maryland,Carroll County,12640.1
Mississippi,Jackson County,12684.3
Pennsylvania,Lebanon County,12704.1
Pennsylvania,Beaver County,12711.5
Louisiana,Terrebonne Parish,12731.7
Louisiana,Rapides Parish,12760.8
Michigan,Calhoun County,12821.9
Alabama,Etowah County,12823.5
North Carolina,Randolph County,12851.5
Michigan,Monroe County,12931.5
Rhode Island,Kent County,12983
Michigan,Livingston County,12999.6
Tennessee,Wilson County,13031.5
Idaho,Kootenai County,13083.6
North Carolina,Catawba County,13103.2
Florida,Martin County,13210.8
Indiana,Elkhart County,13243.1
Georgia,Douglas County,13300.7
Illinois,Peoria County,13315.7
Colorado,Boulder County,13317.3
North Carolina,Wayne County,13347
Indiana,Hendricks County,13354.3
Mississippi,Rankin County,13453.8
Tennessee,Washington County,13595.3
North Carolina,Pitt County,13609.1
Indiana,Johnson County,13637.8
South Carolina,Dorchester County,13671.4
Texas,Webb County,13680.3
Michigan,Jackson County,13731.5
Washington,Benton County,13749.2
Indiana,Porter County,13749.5
Texas,Brazos County,13784.2
Pennsylvania,Monroe County,13840.1
Texas,Ellis County,13869.5
Alabama,Calhoun County,13883.1
Colorado,Pueblo County,13895.5
Kentucky,Kenton County,13914.7
California,El Dorado County,13972.7
Colorado,Douglas County,14000.6
Wisconsin,Racine County,14031
South Carolina,Beaufort County,14098.2
North Carolina,Alamance County,14141.3
Maine,Penobscot County,14165.4
Michigan,St. Clair County,14165.5
Georgia,Paulding County,14181.9
Maryland,Washington County,14189.9
North Carolina,Robeson County,14210.7
Washington,Whatcom County,14255.7
Ohio,Medina County,14288.6
Minnesota,St. Louis County,14303.2
Tennessee,Williamson County,14310.6
California,Yolo County,14328.4
Pennsylvania,Butler County,14427.7
New York,Saratoga County,14496.9
Virginia,Newport News City,14563.8
Iowa,Scott County,14628.8
Florida,Okaloosa County,14709
Florida,Highlands County,14728.3
Ohio,Clark County,14760.9
Louisiana,Ouachita Parish,14772.9
Kansas,Wyandotte County,14941.7
Texas,Hays County,15060.4
South Carolina,Florence County,15096.9
Indiana,Madison County,15103.9
Texas,Johnson County,15376
Texas,Mclennan County,15428.3
Oregon,Deschutes County,15526
Ohio,Warren County,15573
Maine,York County,15579.3
Massachusetts,Barnstable County,15600.5
Maryland,Charles County,15642.1
Michigan,Muskegon County,15673
Illinois,Sangamon County,15681.2
Florida,Indian River County,15685.4
Virginia,Norfolk City,15701.6
North Carolina,Brunswick County,15704.9
New York,Broome County,15753.8
Ohio,Delaware County,15781.7
New Mexico,Doña Ana County,15833.9
Georgia,Houston County,15867.1
Hawaii,Hawaii County,15887.5
Pennsylvania,Lackawanna County,15924.4
Alaska,Anchorage Municipality,16056.6
North Carolina,New Hanover County,16093.2
Florida,Santa Rosa County,16290.1
Florida,Bay County,16305.8
Oregon,Jackson County,16376.9
Indiana,Vanderburgh County,16420.5
Pennsylvania,Washington County,16429.2
North Carolina,Union County,16451.9
North Carolina,Cabarrus County,16497.8
Utah,Weber County,16594
Iowa,Linn County,16657.1
Georgia,Hall County,16870.6
North Carolina,Buncombe County,17037.1
Washington,Yakima County,17040.5
Wisconsin,Brown County,17086.3
North Carolina,Gaston County,17143.4
Tennessee,Sumner County,17306.6
Michigan,Kalamazoo County,17311.2
Kansas,Shawnee County,17362.5
Minnesota,Washington County,17371.7
Florida,Citrus County,17565
Tennessee,Montgomery County,17607.6
Georgia,Forsyth County,17634.4
Georgia,Muscogee County,17668.2
California,Merced County,17685.5
Alabama,Tuscaloosa County,17690.9
Alabama,Shelby County,17730.1
Tennessee,Sullivan County,17742.8
Arkansas,Washington County,17789.8
Colorado,Larimer County,17790.4
Missouri,Clay County,17804.5
Arizona,Yavapai County,17885.9
North Carolina,Iredell County,18069.7
Pennsylvania,Dauphin County,18084.5
Connecticut,New London County,18263.5
Arkansas,Benton County,18278.6
California,San Luis Obispo County,18308.4
Michigan,Saginaw County,18352.9
South Carolina,Aiken County,18419.2
Ohio,Clermont County,18455.3
Missouri,Jefferson County,18476
New York,Niagara County,18492.9
California,Santa Cruz County,18498.2
Florida,Leon County,18513.2
Delaware,Kent County,18547.6
California,Marin County,18628.8
Mississippi,Desoto County,18631.8
Virginia,Richmond City,18870.3
Ohio,Licking County,18893.2
New York,Oneida County,19036.1
Georgia,Bibb County,19089.8
Florida,Charlotte County,19102.5
Louisiana,Lafayette Parish,19158.3
Texas,Lubbock County,19228.4
Michigan,Ingham County,19251.9
Alabama,Baldwin County,19353.8
Maine,Cumberland County,19378.1
Florida,Alachua County,19430.1
Pennsylvania,Cumberland County,19478.6
Michigan,Ottawa County,19482.3
Maryland,Howard County,19542.6
Virginia,Loudoun County,19548.5
Nebraska,Lancaster County,19612.2
Maryland,Frederick County,19627.6
New York,Dutchess County,19632.3
New Jersey,Somerset County,19654.5
Indiana,St. Joseph County,19781.2
Georgia,Cherokee County,19785.1
Idaho,Canyon County,19793.4
Georgia,Henry County,19868.8
Washington,Kitsap County,19882.9
Mississippi,Harrison County,19914.4
Louisiana,Calcasieu Parish,19950.7
Utah,Davis County,19976.3
Illinois,Mchenry County,20017.6
Pennsylvania,Erie County,20023.7
Colorado,Weld County,20035.3
New Jersey,Gloucester County,20049.9
Illinois,St. Clair County,20161.7
Texas,Smith County,20173.5
Washington,Thurston County,20304
New York,Albany County,20350.6
Arizona,Yuma County,20438.2
Louisiana,St. Tammany Parish,20444.7
New York,Rockland County,20614.4
West Virginia,Kanawha County,20660.9
Maryland,Harford County,20724.7
Ohio,Trumbull County,20734.8
North Carolina,Johnston County,20870.6
Ohio,Lake County,20946.9
South Carolina,Anderson County,20959
Oklahoma,Cleveland County,21233.7
New Hampshire,Rockingham County,21335.9
Illinois,Winnebago County,21564.3
Florida,Sumter County,21766.2
Florida,Hernando County,21779.2
Texas,Jefferson County,21839.7
Florida,St. Johns County,21897.2
Michigan,Washtenaw County,21950
Illinois,Madison County,22268.1
Kentucky,Fayette County,22435.4
Indiana,Hamilton County,22455.2
Mississippi,Hinds County,22612.5
Florida,Clay County,22716.7
South Carolina,Berkeley County,23022.5
North Carolina,Durham County,23139.5
Georgia,Richmond County,23281.4
California,Placer County,23682.2
Missouri,Greene County,23926.1
Virginia,Chesapeake City,24042.2
Georgia,Chatham County,24413.3
South Carolina,York County,24456.6
New Jersey,Mercer County,24654.3
Missouri,St. Charles County,24720.4
Delaware,Sussex County,25035.8
Minnesota,Anoka County,25216.7
Ohio,Mahoning County,25223.9
New Jersey,Atlantic County,25255.4
Pennsylvania,Northampton County,25318.1
Utah,Utah County,25579.3
California,Santa Barbara County,25594.5
Arizona,Mohave County,25598.2
Nevada,Washoe County,25915.6
Missouri,St. Louis City,25970.9
Georgia,Clayton County,26099.2
Tennessee,Rutherford County,26220.5
New York,Orange County,26242.2
Virginia,Henrico County,26385.5
Minnesota,Dakota County,26524.4
South Carolina,Lexington County,26538.9
Wisconsin,Dane County,26548.8
Wisconsin,Waukesha County,26596.7
Oregon,Marion County,26725.2
Pennsylvania,Berks County,26735.6
Oregon,Lane County,26853.1
Alabama,Montgomery County,26973.8
Texas,Bell County,27186.4
Indiana,Allen County,27209
Louisiana,Caddo Parish,27305.6
Florida,St. Lucie County,27901.2
New Jersey,Morris County,28235.7
North Carolina,Cumberland County,28294.7
Colorado,Jefferson County,28372.1
Idaho,Ada County,28655.6
North Carolina,Forsyth County,29142.1
California,Monterey County,29142.6
South Carolina,Richland County,29446.4
Oregon,Clackamas County,29506.1
Ohio,Butler County,29731.8
Florida,Collier County,29905.8
New Hampshire,Hillsborough County,30042.6
Pennsylvania,Lehigh County,30054.6
Pennsylvania,Luzerne County,30479.6
Ohio,Lorain County,30581.3
Florida,Escambia County,30708.6
Texas,Nueces County,30922.4
Pennsylvania,York County,30975.8
South Carolina,Spartanburg County,30980.9
California,Sonoma County,31064.8
Pennsylvania,Westmoreland County,31089.4
Colorado,Adams County,31503.5
Texas,Brazoria County,31940
Texas,Galveston County,31998.2
Louisiana,Orleans Parish,32114
Virginia,Prince William County,32280.5
California,Tulare County,32378.1
Arkansas,Pulaski County,32482.6
Massachusetts,Plymouth County,32883.2
South Carolina,Charleston County,32894.7
Pennsylvania,Chester County,32987.2
Iowa,Polk County,33379.4
New Jersey,Union County,33426.6
Massachusetts,Hampden County,33604.1
Virginia,Chesterfield County,33772.6
Ohio,Stark County,34082.3
Florida,Osceola County,34282.8
Tennessee,Hamilton County,34861.3
New York,Onondaga County,35326.1
Alabama,Madison County,35396.8
Florida,Marion County,35483.2
Washington,Clark County,35636.6
California,Solano County,35826.4
Virginia,Virginia Beach City,36035.7
Florida,Sarasota County,36144.6
New York,Richmond County,36306.5
Colorado,Denver County,36346.9
Washington,Spokane County,36368.6
California,Stanislaus County,36803.4
Kansas,Johnson County,36854.9
Colorado,Arapahoe County,36984.6
New Jersey,Camden County,37203.8
Texas,Cameron County,37204.2
Oregon,Washington County,37635.3
Louisiana,East Baton Rouge Parish,37680.6
Florida,Seminole County,37690.3
Minnesota,Ramsey County,37907.9
Colorado,El Paso County,37998
South Carolina,Horry County,38168.4
Texas,Williamson County,38447.6
Massachusetts,Bristol County,38875.6
New Jersey,Burlington County,39518.6
North Carolina,Guilford County,39645.4
Ohio,Lucas County,40800.1
New Jersey,Passaic County,41171.4
Florida,Manatee County,41426.3
District of Columbia,District Of Columbia,41443.5
Illinois,Kane County,41527.3
Nebraska,Douglas County,41539.2
Pennsylvania,Lancaster County,41686
Louisiana,Jefferson Parish,41999.5
Maryland,Anne Arundel County,42524.5
Michigan,Genesee County,42739.1
Kansas,Sedgwick County,42787.3
New Mexico,Bernalillo County,42987.7
New Jersey,Monmouth County,43168.6
Florida,Lake County,43180.5
Texas,Montgomery County,43231.6
Pennsylvania,Bucks County,43766.8
Alabama,Mobile County,43990.5
South Carolina,Greenville County,44248
New Jersey,Ocean County,44446.4
Illinois,Lake County,44534.8
Massachusetts,Norfolk County,44943
Pennsylvania,Delaware County,45039.4
Tennessee,Knox County,45102.1
Arizona,Pinal County,45290.5
Illinois,Will County,46402.9
Ohio,Summit County,46630.9
Georgia,Cobb County,47391.6
Michigan,Kent County,47550
New Jersey,Hudson County,47664.6
Massachusetts,Suffolk County,47986.7
Delaware,New Castle County,48014
Indiana,Lake County,48020.3
Tennessee,Davidson County,48464.2
Massachusetts,Essex County,49746.8
California,San Joaquin County,50403.3
Oklahoma,Tulsa County,50423.7
Connecticut,Fairfield County,50442.3
Oregon,Multnomah County,51351.5
Rhode Island,Providence County,51479.2
Ohio,Montgomery County,51956.1
Texas,Denton County,51956.9
Florida,Pasco County,52914.1
New York,Monroe County,52948
California,Ventura County,54318.5
California,San Mateo County,54994.3
Washington,Snohomish County,56321.1
New Jersey,Essex County,56954.5
New York,Westchester County,57102.2
Pennsylvania,Montgomery County,57765.1
Virginia,Fairfax County,58245.1
Massachusetts,Worcester County,58318.7
Maryland,Baltimore City,58719
Illinois,Dupage County,59028
Missouri,Jackson County,59239.6
New Jersey,Middlesex County,59369.9
New Jersey,Bergen County,59414.8
Maryland,Montgomery County,61487.1
Georgia,Dekalb County,61799.3
Florida,Brevard County,62494.7
Florida,Volusia County,62553
Texas,Travis County,62889
Alabama,Jefferson County,64399.2
Maryland,Baltimore County,64491.4
California,Kern County,64841.4
Texas,Fort Bend County,64865.7
Texas,El Paso County,65413.1
Oklahoma,Oklahoma County,65861.1
Texas,Collin County,66074.4
Georgia,Gwinnett County,66264.4
Florida,Lee County,67669.5
Connecticut,Hartford County,67821
Kentucky,Jefferson County,68008.1
Georgia,Fulton County,68227.2
Washington,Pierce County,68376.9
Arizona,Pima County,68759.3
Utah,Salt Lake County,68942.5
California,San Francisco County,68973
Ohio,Hamilton County,69411.8
North Carolina,Mecklenburg County,69796
North Carolina,Wake County,69917.7
Wisconsin,Milwaukee County,69960.8
Connecticut,New Haven County,71000.5
Missouri,St. Louis County,71433.7
Minnesota,Hennepin County,71619.4
Florida,Polk County,74571
California,Fresno County,74986.9
New York,Erie County,76917.5
Texas,Hidalgo County,77233.1
Michigan,Macomb County,79422.6
Indiana,Marion County,82063.1
Hawaii,Honolulu County,82320.8
Tennessee,Shelby County,82918.6
Florida,Pinellas County,82996.3
New York,Nassau County,85148.8
California,Contra Costa County,86360.5
Maryland,Prince Georges County,88790.2
Massachusetts,Middlesex County,88798.7
New York,New York County,90386.9
Pennsylvania,Allegheny County,90463.6
Florida,Duval County,91838.4
Michigan,Oakland County,93768.5
New York,Suffolk County,94695.3
Florida,Orange County,98031.1
California,Alameda County,100798.3
Ohio,Franklin County,102497.3
Ohio,Cuyahoga County,104395.3
California,Sacramento County,107315
Florida,Hillsborough County,112077.8
Washington,King County,122418.5
New York,Bronx County,123252.2
Florida,Palm Beach County,127452.2
California,Santa Clara County,129949.3
Pennsylvania,Philadelphia County,138598.2
Florida,Broward County,144911.8
Michigan,Wayne County,153931.5
Texas,Tarrant County,157494.1
California,San Bernardino County,163202.1
Texas,Bexar County,165891.5
Texas,Dallas County,182542.3
California,Riverside County,182637.3
New York,Kings County,183570.6
Nevada,Clark County,189984.7
Florida,Miami-Dade County,190581.3
California,San Diego County,198244.4
New York,Queens County,208048.2
California,Orange County,229477.5
Arizona,Maricopa County,316604.6
Texas,Harris County,344810.7
Illinois,Cook County,356695.4
California,Los Angeles County,711789.6
