State,County,Diabetes Estimate
Nebraska,Red Willow County,928.4
Colorado,Gunnison County,929.6
Illinois,Mason County,929.8
California,Mono County,930.6
Mississippi,Carroll County,931.6
Washington,Lincoln County,932.2
Arkansas,Howard County,932.5
Missouri,Cedar County,934
Illinois,Washington County,937.1
Illinois,White County,938.3
Texas,Comanche County,938.9
Georgia,Charlton County,943.8
Texas,Nolan County,945.4
Missouri,Osage County,945.5
Virginia,Falls Church City,945.9
South Carolina,Allendale County,947.7
Virginia,Clarke County,947.9
Oklahoma,Okfuskee County,948.9
Texas,Jackson County,950.6
Missouri,Douglas County,952.1
Tennessee,Stewart County,953.2
Arkansas,Stone County,953.4
New Mexico,Roosevelt County,954.5
Virginia,Sussex County,954.6
North Carolina,Gates County,956.6
Illinois,Clark County,957.1
Illinois,Massac County,957.2
Illinois,Lawrence County,957.3
Alabama,Clay County,959.3
Iowa,Appanoose County,959.3
Alabama,Coosa County,959.9
Texas,Zavala County,963.5
North Carolina,Alleghany County,964.2
Kentucky,Leslie County,967.7
Texas,Moore County,970.1
Iowa,Cherokee County,972
Kansas,Atchison County,975.4
Minnesota,Roseau County,976.6
Illinois,De Witt County,977.7
Texas,Red River County,978.7
Arkansas,Desha County,979.4
Texas,Frio County,979.6
West Virginia,Ritchie County,979.6
Michigan,Iron County,979.9
Idaho,Clearwater County,981.5
Iowa,Allamakee County,984.1
Montana,Carbon County,985
Minnesota,Wadena County,986.3
Missouri,Bollinger County,986.5
Colorado,Alamosa County,987
Iowa,Butler County,989.2
Kentucky,Edmonson County,989.4
Montana,Custer County,991.3
California,Trinity County,993.2
Louisiana,Lasalle Parish,995
Minnesota,Faribault County,997.4
Indiana,Pike County,999.3
Louisiana,Winn Parish,1001
Wyoming,Converse County,1001.7
South Dakota,Hughes County,1003.1
