County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Beaver County,Oklahoma,40007,325.2,194.4,476.5
Gregory County,South Dakota,46053,325.5,200,500.4
Toole County,Montana,30101,327.5,202.2,473.6
Big Stone County,Minnesota,27011,329.1,208.6,489.1
Brule County,South Dakota,46015,329.3,198.8,498.4
Chase County,Nebraska,31029,330.1,227.1,454.7
Hartley County,Texas,48205,330.6,193.8,527.3
Garza County,Texas,48169,332.4,191.5,529.6
Dewey County,Oklahoma,40043,333.6,198.1,509
Crosby County,Texas,48107,333.6,179.6,541
Lincoln County,Idaho,16063,334.6,203.3,521
Mason County,Texas,48319,335.4,192.3,528.6
Scott County,Illinois,17171,336.3,182,570.3
Sherman County,Kansas,20181,336.4,210.6,514.3
Wells County,North Dakota,38103,336.6,225,475.1
Rio Blanco County,Colorado,8103,336.7,202,533.3
Kusilvak Census Area,Alaska,2158,337,212.4,489.8
Calhoun County,Illinois,17013,337,200,529.9
Scott County,Kansas,20171,337.1,219.1,493.6
Dallam County,Texas,48111,338.1,195.1,515.8
Mineral County,Montana,30061,338.4,195.5,513.6
Corson County,South Dakota,46031,338.9,257.4,427.6
Lynn County,Texas,48305,339.1,200.4,509.6
Gallatin County,Illinois,17059,339.9,203.8,534.4
Sharkey County,Mississippi,28125,339.9,196.2,526.2
Kittson County,Minnesota,27069,341.5,211.8,503.3
Oneida County,Idaho,16071,341.7,243.3,453.9
Tensas Parish,Louisiana,22107,342.4,207,512.4
Rooks County,Kansas,20163,344.2,222.8,497.4
Polk County,Nebraska,31143,344.9,234.3,502.8
Washington County,Colorado,8121,345.1,205.8,536.4
Guadalupe County,New Mexico,35019,345.6,214.9,523.4
Bailey County,Texas,48017,346.1,192.9,548.6
Stevens County,Kansas,20189,347.9,228.6,494.3
Kimble County,Texas,48267,348.1,202.7,537.8
Grant County,Kansas,20067,349.3,207.8,533.5
Aleutians East Borough,Alaska,2013,350.3,220.8,510.7
Crowley County,Colorado,8025,350.3,210.5,545.2
Floyd County,Texas,48153,352.4,207.1,562.9
Grant County,Oklahoma,40053,352.5,218.9,531.6
Clay County,Nebraska,31035,352.6,235.1,482.7
Pope County,Illinois,17151,353.3,198.6,550.7
Hickman County,Kentucky,21105,353.6,211,538.6
Holt County,Missouri,29087,354.1,223.5,542
Red Lake County,Minnesota,27125,354.3,219.1,522
Lexington City,Virginia,51678,354.4,198.4,570.6
Schley County,Georgia,13249,354.9,200.9,552.7
Chattahoochee County,Georgia,13053,356.2,205.4,574.4
Adams County,Idaho,16003,356.3,224.7,518.8
Phillips County,Kansas,20147,356.6,235.5,515.8
Delta County,Texas,48119,356.6,212.5,561.6
Musselshell County,Montana,30065,357.5,224.6,544
Hot Springs County,Wyoming,56017,357.7,241.1,507.4
Harper County,Kansas,20077,358.9,213.4,533.9
Stark County,Illinois,17175,359,206,582.8
Custer County,Idaho,16037,360.4,241,514.2
Day County,South Dakota,46037,365.4,232.1,562.7
Putnam County,Missouri,29171,365.9,218.8,557.4
Lincoln County,Colorado,8073,366,207.8,587
Lander County,Nevada,32015,366.5,228.6,558.9
Greer County,Oklahoma,40055,366.8,213.8,556.2
Mineral County,Nevada,32021,367.1,211.7,551.8
Cameron County,Pennsylvania,42023,367.7,202.5,577.6
Teton County,Montana,30099,369.8,236.2,522.3
Covington City,Virginia,51580,370.9,215.9,557
Garfield County,Utah,49017,373,230.9,534.6
Shelby County,Missouri,29205,374.9,220.9,568.5
La Salle County,Texas,48283,377.4,225,560.5
Grant County,Minnesota,27051,377.7,213.6,586.6
Childress County,Texas,48075,378.4,238.2,569.3
Chouteau County,Montana,30015,378.9,239.3,545
Tripp County,South Dakota,46123,378.9,236.8,557.6
Buena Vista City,Virginia,51530,382.9,223,609.3
Brown County,Illinois,17009,384,222,596.1
Northwest Arctic Borough,Alaska,2188,384.9,244.5,575.8
Kingsbury County,South Dakota,46077,384.9,240.5,600.9
Ouray County,Colorado,8091,385.4,233.9,601.9
Brooks County,Texas,48047,385.4,204.4,589.3
Sheridan County,Nebraska,31161,387.1,264,521.9
Mills County,Texas,48333,387.1,225.5,598.7
Yukon-Koyukuk Census Area,Alaska,2290,388.6,246.7,520.6
Columbia County,Washington,53013,388.9,293.5,498.9
Washington County,Kansas,20201,389.7,246.3,568.1
Winkler County,Texas,48495,389.9,219.1,607.6
Hamlin County,South Dakota,46057,390.1,257.7,539.8
Bath County,Virginia,51017,390.5,248.3,583.2
Carson County,Texas,48065,390.6,227,608.9
Boone County,Nebraska,31011,390.8,280.1,522.3
Emporia City,Virginia,51595,392.6,228.7,619.3
Pulaski County,Illinois,17153,393.2,228.9,612.6
Morrill County,Nebraska,31123,393.5,247.5,552.6
Haskell County,Texas,48207,395.4,225.6,626.2
Craig County,Virginia,51045,395.6,253.5,589.7
Mccook County,South Dakota,46087,396.2,239.4,598.8
Hyde County,North Carolina,37095,397,245.5,605.6
Florence County,Wisconsin,55037,397.3,257.2,583.9
Stanton County,Nebraska,31167,398.7,274.7,557.8
Yoakum County,Texas,48501,399.1,217.2,604
Moody County,South Dakota,46101,400,247.7,590.2
Cotton County,Oklahoma,40033,400.1,242.8,631.5
Ida County,Iowa,19093,401,244.7,606.4
San Saba County,Texas,48411,401.3,238.3,613.5
Menominee County,Wisconsin,55078,401.4,292.7,525.8
Kit Carson County,Colorado,8063,401.6,229.6,604.2
Carter County,Missouri,29035,401.8,243.6,637.5
Castro County,Texas,48069,401.9,233.2,646.4
Galax City,Virginia,51640,402.6,246.5,621
Mora County,New Mexico,35033,405,238.2,606.8
Republic County,Kansas,20157,405.2,262.7,562.2
Alfalfa County,Oklahoma,40003,406,247.9,644.3
Caribou County,Idaho,16029,409.7,264.6,604
Bent County,Colorado,8011,411,237.1,629.5
Putnam County,Illinois,17155,411.8,240.7,627.2
Ohio County,Indiana,18115,412.6,240.8,622.6
Wirt County,West Virginia,54105,412.9,245.3,623.5
Edwards County,Illinois,17047,413.1,231.3,662.4
Presidio County,Texas,48377,414.4,236.7,636.8
Miller County,Georgia,13201,416.8,251.2,623.2
Cherry County,Nebraska,31031,417.3,293.5,561.5
Atchison County,Missouri,29005,418.7,237.1,636.9
Furnas County,Nebraska,31065,419.4,288.9,569.5
Van Buren County,Tennessee,47175,419.9,238,686.2
Ransom County,North Dakota,38073,421.6,284.7,584.1
Ringgold County,Iowa,19159,421.9,265.6,601
East Carroll Parish,Louisiana,22035,422.1,256.1,652.7
Catron County,New Mexico,35003,423.4,270.9,618.7
Alexander County,Illinois,17003,423.9,248.6,659.7
Power County,Idaho,16077,426,261.7,644.4
Gentry County,Missouri,29075,429.1,259.1,656.3
Southeast Fairbanks Census Area,Alaska,2240,429.6,306.9,557.8
Wilkin County,Minnesota,27167,429.8,262.6,631.1
Nemaha County,Nebraska,31127,429.8,303,592.9
Ellsworth County,Kansas,20053,431.1,273.9,665.5
Thayer County,Nebraska,31169,431.4,293.1,607.7
Storey County,Nevada,32029,431.6,263.7,640.5
Mchenry County,North Dakota,38049,432.7,293.8,587.6
Hamilton County,New York,36041,433.4,300,599.3
Dixon County,Nebraska,31051,436,315.7,574.1
Norton County,Kansas,20137,436.4,277.6,631.3
Reynolds County,Missouri,29179,436.4,266.6,677.8
Taylor County,Iowa,19173,437.9,276.6,649.6
Gilpin County,Colorado,8047,439.4,249.8,679.2
Swisher County,Texas,48437,440.9,262.6,700.5
Osceola County,Iowa,19143,441.7,283.5,657.2
Cameron Parish,Louisiana,22023,442.2,282.6,670.6
Nome Census Area,Alaska,2180,442.7,293,629.2
Luce County,Michigan,26095,445.6,265.9,724
Pickett County,Tennessee,47137,446.8,253.5,685.6
Hutchinson County,South Dakota,46067,447.1,271.2,692.5
Bear Lake County,Idaho,16007,448.6,293.5,649.9
Stewart County,Georgia,13259,449,251.5,720.1
Decatur County,Iowa,19053,449.7,272.1,668.4
Pershing County,Nevada,32027,451,260.7,716.7
Fulton County,Kentucky,21075,451.1,266.3,685.8
Jefferson County,Oklahoma,40067,452.6,271.6,676
Mahnomen County,Minnesota,27087,455.5,292.6,631.1
Coal County,Oklahoma,40029,457.1,274.5,651.8
Howard County,Nebraska,31093,459,323.9,618.7
Dawes County,Nebraska,31045,459.7,312.8,644.4
Mitchell County,Texas,48335,460.4,265.9,686.9
Weston County,Wyoming,56045,460.6,311.7,628
Benson County,North Dakota,38005,461.9,322.3,637.8
Lake County,Colorado,8065,463.6,277.2,717.7
Ochiltree County,Texas,48357,463.6,271.7,762.5
Grant County,South Dakota,46051,463.7,297.9,687.5
Cook County,Minnesota,27031,464.6,295.5,692.1
Lincoln County,Nevada,32017,465.5,279.1,712.9
Lincoln County,Minnesota,27081,466.7,294,699
Fillmore County,Nebraska,31059,467.2,308.1,642.4
Spink County,South Dakota,46115,467.2,286.3,670
Hancock County,Tennessee,47067,467.8,274,733
Broadwater County,Montana,30007,469.4,286.2,701.7
Schuyler County,Illinois,17169,471.1,273.6,735
Anderson County,Kansas,20003,472.2,282.7,695.3
Cedar County,Nebraska,31027,475.3,339.9,626.8
Moore County,Tennessee,47127,476.4,258.3,758.5
Morris County,Kansas,20127,476.5,308.7,662.7
Refugio County,Texas,48391,477.6,281.3,736.6
Cumberland County,Kentucky,21057,477.8,258.7,744.3
Lewis County,Idaho,16061,478.9,317.1,640.9
Lake County,Tennessee,47095,480.5,293.3,722.5
Crook County,Wyoming,56011,482.6,328.1,650.1
Calhoun County,Arkansas,5013,484.2,298.9,721.3
Mitchell County,Kansas,20123,484.5,315.4,683.2
Ottawa County,Kansas,20143,484.7,311.4,707.1
Sullivan County,Missouri,29211,484.7,284.4,723.7
Keith County,Nebraska,31101,485.7,340.8,655.5
Pocahontas County,Iowa,19151,488.7,296.4,702.5
Calhoun County,Georgia,13037,489,306.5,732.5
Iron County,Wisconsin,55051,489.6,299.7,756.1
Warren County,Georgia,13301,489.8,298.6,745.6
Audubon County,Iowa,19009,490,304.7,742.2
Pondera County,Montana,30073,491.6,339.6,691
Kearney County,Nebraska,31099,492.6,322.5,692.2
Atkinson County,Georgia,13003,498.7,292.6,780.4
Powell County,Montana,30077,499.3,321.9,741.9
Nicholas County,Kentucky,21181,501.1,297.7,797.3
Walworth County,South Dakota,46129,501.1,314.4,739.1
Union County,Indiana,18161,501.5,296.9,741.6
Blaine County,Montana,30005,502.8,362,652.1
Van Buren County,Iowa,19177,505,299.3,779.6
Sullivan County,Pennsylvania,42113,505,284.6,786.6
Saguache County,Colorado,8109,505.1,295.2,738.8
Parmer County,Texas,48369,507,292.8,771.2
Pembina County,North Dakota,38067,507.6,343.9,714.9
Morgan County,Utah,49029,508.2,318.4,726.9
Russell County,Kansas,20167,508.9,325.6,715.9
