State,County,median_household_income,total_population,Diabetes Estimate
Illinois,Douglas County,59620.0,19551.0,1214.8
Texas,Hockley County,47010.0,22986.0,1216.2
Michigan,Lake County,38356.0,11805.0,1216.6
Ohio,Greene County,70055.0,167867.0,12177.1
Texas,Hutchinson County,57921.0,21105.0,1218.2
Wisconsin,Outagamie County,68441.0,186829.0,12191.2
Nebraska,Deuel County,48958.0,1770.0,122.5
Virginia,Appomattox County,55457.0,15814.0,1221
Oklahoma,Canadian County,73591.0,144610.0,12225.9
Illinois,Mercer County,57182.0,15503.0,1224
North Dakota,Stutsman County,52815.0,20879.0,1224.4
Washington,King County,99158.0,2225064.0,122418.5
West Virginia,Grant County,43313.0,11565.0,1228.7
Oregon,Wheeler County,45354.0,1417.0,123.7
Mississippi,Yalobusha County,41440.0,12276.0,1231.3
Kentucky,Fleming County,42087.0,14519.0,1231.4
New York,Bronx County,41895.0,1427056.0,123252.2
Wisconsin,Lafayette County,61070.0,16682.0,1233.1
Missouri,Gasconade County,56380.0,14673.0,1233.1
Georgia,Lamar County,50088.0,18834.0,1234.4
Idaho,Jerome County,55521.0,24074.0,1234.9
Illinois,Champaign County,53936.0,210006.0,12349.3
Tennessee,Wayne County,42206.0,16638.0,1235.1
Texas,Gonzales County,58210.0,20828.0,1236.3
Iowa,Carroll County,59198.0,20150.0,1238.9
Illinois,Rock Island County,55980.0,142801.0,12386.6
North Dakota,Oliver County,66641.0,1962.0,124.9
Arkansas,Lawrence County,40587.0,16511.0,1240.7
Illinois,Edgar County,48543.0,17272.0,1242.3
North Carolina,Davidson County,50454.0,166837.0,12432
Missouri,Mississippi County,34354.0,13328.0,1244.6
Texas,Eastland County,41559.0,18289.0,1246.8
Missouri,Wright County,36711.0,18256.0,1247
Kansas,Seward County,49395.0,21902.0,1248.6
Texas,Jones County,52471.0,19874.0,1249.9
Nebraska,Sarpy County,83051.0,183956.0,12495.5
Kentucky,Casey County,33004.0,15968.0,1251.9
South Carolina,Calhoun County,49844.0,14608.0,1253.9
Missouri,Macon County,44696.0,15154.0,1255
Alabama,Lee County,52930.0,163461.0,12555.2
North Carolina,Rowan County,51054.0,140978.0,12572.7
Idaho,Blaine County,64627.0,22729.0,1259.4
