State,County,median_household_income,total_population
Colorado,Mineral County,53571.0,853.0
Colorado,Montrose County,54611.0,42280.0
Colorado,Otero County,43075.0,18284.0
Colorado,Phillips County,50426.0,4343.0
Colorado,Pueblo County,49979.0,167412.0
Colorado,Routt County,76198.0,25317.0
Colorado,San Juan County,56875.0,646.0
Colorado,Summit County,80709.0,30735.0
Colorado,Weld County,74332.0,315389.0
Connecticut,Hartford County,76259.0,892153.0
Connecticut,Litchfield County,81590.0,181143.0
Connecticut,New Haven County,71370.0,855733.0
Connecticut,New London County,75831.0,266868.0
Connecticut,Windham County,67365.0,116657.0
Connecticut,Fairfield County,97539.0,944306.0
Connecticut,Middlesex County,84907.0,162742.0
Connecticut,Tolland County,87809.0,150947.0
Delaware,New Castle County,75275.0,558306.0
Delaware,Sussex County,64905.0,230249.0
Delaware,Kent County,60117.0,179124.0
Florida,Bay County,56483.0,180076.0
Florida,Broward County,60922.0,1942273.0
Florida,Citrus County,45689.0,147938.0
Florida,Columbia County,44818.0,70898.0
Florida,Duval County,56769.0,948651.0
Florida,Franklin County,48814.0,11914.0
Florida,Glades County,39709.0,13777.0
Florida,Hardee County,40165.0,27027.0
Florida,Highlands County,43708.0,104574.0
Florida,Indian River County,57945.0,156964.0
Florida,Lafayette County,51734.0,8576.0
Florida,Leon County,54675.0,291863.0
Florida,Liberty County,39121.0,8333.0
Florida,Marion County,46587.0,360210.0
Florida,Monroe County,72012.0,75137.0
Florida,Okeechobee County,46097.0,41611.0
Florida,Alachua County,50089.0,268105.0
Florida,Baker County,62299.0,28679.0
Florida,Bradford County,43580.0,27723.0
Florida,Brevard County,59359.0,594001.0
Florida,Calhoun County,38037.0,14324.0
Florida,Charlotte County,52724.0,185926.0
Florida,Clay County,68657.0,215294.0
Florida,Collier County,70217.0,379345.0
Florida,DeSoto County,36360.0,37371.0
Florida,Dixie County,41674.0,16740.0
Florida,Escambia County,53023.0,316691.0
Florida,Flagler County,57536.0,112854.0
Florida,Gadsden County,41135.0,45787.0
Florida,Gilchrist County,47381.0,18245.0
Florida,Gulf County,50640.0,15073.0
Florida,Hamilton County,38300.0,14397.0
Florida,Hendry County,36978.0,41472.0
Florida,Hernando County,50280.0,190700.0
Florida,Hillsborough County,60566.0,1451358.0
Florida,Holmes County,39215.0,19530.0
Florida,Jackson County,40754.0,47409.0
Florida,Jefferson County,49081.0,14278.0
Florida,Lake County,55792.0,356115.0
Florida,Lee County,59608.0,756570.0
Florida,Levy County,38951.0,40979.0
Florida,Madison County,35240.0,18557.0
Florida,Manatee County,59963.0,393847.0
Florida,Martin County,65821.0,160420.0
Florida,Miami-Dade County,53975.0,2705528.0
Florida,Nassau County,72998.0,85762.0
Florida,Okaloosa County,64373.0,207430.0
Florida,Orange County,61416.0,1373784.0
Florida,Osceola County,55538.0,363666.0
Florida,Palm Beach County,65015.0,1482057.0
Florida,Pasco County,53431.0,539885.0
Florida,Pinellas County,56419.0,970985.0
Florida,Putnam County,40068.0,73784.0
Florida,St. Johns County,83803.0,255410.0
Florida,St. Lucie County,55237.0,320914.0
Florida,Santa Rosa County,70663.0,179587.0
Florida,Sarasota County,64644.0,427766.0
Florida,Seminole County,70297.0,466695.0
Florida,Sumter County,59618.0,129938.0
Florida,Suwannee County,46280.0,44290.0
Florida,Taylor County,38295.0,21709.0
Florida,Union County,55139.0,15282.0
Florida,Volusia County,52407.0,546107.0
Florida,Wakulla County,67480.0,32855.0
Florida,Walton County,67390.0,71049.0
Florida,Washington County,37260.0,25094.0
Florida,Polk County,51535.0,705735.0
Georgia,Appling County,37924.0,18428.0
Georgia,Atkinson County,35703.0,8311.0
Georgia,Bacon County,36692.0,11140.0
Georgia,Baker County,34034.0,3090.0
Georgia,Banks County,50912.0,18900.0
Georgia,Barrow County,62990.0,81294.0
Georgia,Ben Hill County,32077.0,16889.0
Georgia,Bibb County,41317.0,153026.0
Georgia,Bleckley County,46992.0,12870.0
Georgia,Brooks County,37516.0,15548.0
Georgia,Bryan County,76121.0,38321.0
Georgia,Burke County,45699.0,22567.0
Georgia,Butts County,48282.0,24463.0
Georgia,Camden County,60594.0,53960.0
Georgia,Carroll County,59197.0,118692.0
Georgia,Catoosa County,58932.0,67181.0
Georgia,Chatham County,57739.0,289649.0
Georgia,Chattahoochee County,45700.0,10470.0
Georgia,Cherokee County,84817.0,253780.0
Georgia,Clarke County,40363.0,126952.0
Georgia,Clayton County,49460.0,287560.0
Georgia,Cobb County,80830.0,756653.0
Georgia,Coffee County,42526.0,43070.0
